frame_id,sample_arrival_ms,sample_send_ms,acked_bitrate_bps,offset,threshold,usage,target_bitrate_bps
86,21089082,21089082,20003200,0.004071,6.000000,normal,20000000
87,21089115,21089115,19790400,-0.001637,6.000000,normal,20000000
88,21089148,21089148,20003200,-0.002063,6.000000,normal,20000000
89,21089182,21089182,19790400,-0.001619,6.000000,normal,20000000
90,21089215,21089215,20003200,-0.002038,6.000000,normal,20000000
91,21089248,21089248,19790400,-0.001600,6.000000,normal,20000000
92,21089282,21089282,20003200,0.004343,6.000000,normal,19343400
93,21089315,21089315,19779200,-0.001557,6.000000,normal,19343400
94,21089348,21089348,19756800,-0.003272,6.000000,normal,19343400
95,21089382,21089382,19734400,0.004063,6.000000,normal,19343400
96,21089415,21089415,19712000,-0.002836,6.000000,normal,19343400
97,21089448,21089448,19689600,-0.002453,6.000000,normal,19343400
98,21089482,21089482,19678400,-0.002436,6.000000,normal,19343400
99,21089515,21089515,19644800,-0.002766,6.000000,normal,19343400
100,21089548,21089548,19633600,-0.002383,6.000000,normal,19343400
101,21089582,21089582,19600000,0.004062,6.000000,normal,19343400
102,21089615,21089615,19588800,-0.002693,6.000000,normal,19343400
103,21089648,21089648,19555200,-0.003217,6.000000,normal,19343400
104,21089682,21089682,19544000,-0.002626,6.000000,normal,19343400
105,21089715,21089715,19521600,-0.002607,6.000000,normal,19343400
106,21089748,21089748,19499200,-0.003132,6.000000,normal,19343400
107,21089782,21089782,19476800,-0.002542,6.000000,normal,19343400
108,21089815,21089815,19454400,-0.003061,6.000000,normal,20153369
109,21089849,21089848,19656000,-0.002479,6.000000,normal,20153369
110,21089882,21089882,19667200,0.006009,6.000000,normal,20153369
111,21089915,21089915,19667200,-0.001721,6.000000,normal,20153369
112,21089948,21089948,19678400,-0.001708,6.000000,normal,20153369
113,21089982,21089982,19678400,-0.001695,6.000000,normal,20153369
114,21090015,21090015,19678400,-0.001681,6.000000,normal,20153369
115,21090048,21090048,19835200,-0.001668,6.000000,normal,20153369
116,21090082,21090082,19689600,-0.001654,6.000000,normal,20153369
117,21090115,21090115,19700800,-0.001641,6.000000,normal,20153369
118,21090148,21090148,19700800,-0.001628,6.000000,normal,20153369
119,21090182,21090182,19712000,-0.001614,6.000000,normal,20153369
120,21090215,21090215,19712000,-0.001601,6.000000,normal,20153369
121,21090248,21090248,19824000,-0.001587,6.000000,normal,20153369
122,21090282,21090282,19723200,-0.001574,6.000000,normal,20153369
123,21090315,21090315,19756800,-0.001560,6.000000,normal,20153369
124,21090349,21090348,19555200,-0.001547,6.000000,normal,20997254
125,21090382,21090382,19801600,0.006763,6.000000,normal,20997254
126,21090415,21090415,19857600,0.001208,6.000000,normal,20997254
127,21090449,21090448,19902400,0.000331,6.000000,normal,20997254
128,21090482,21090482,19969600,0.009603,6.000000,normal,20997254
129,21090515,21090515,20014400,-0.000476,6.000000,normal,20997254
130,21090548,21090548,20193600,0.000100,6.000000,normal,20997254
131,21090582,21090582,20126400,-0.000515,6.000000,normal,20997254
132,21090615,21090615,20193600,0.000057,6.000000,normal,20997254
133,21090649,21090648,20238400,-0.000552,6.000000,normal,20997254
134,21090682,21090682,20294400,0.008937,6.000000,normal,20997254
135,21090715,21090715,20350400,-0.001272,6.000000,normal,20997254
136,21090748,21090748,20406400,-0.000926,6.000000,normal,20997254
137,21090782,21090782,20462400,0.008494,6.000000,normal,20997254
138,21090815,21090815,20518400,-0.000343,6.000000,normal,20997254
139,21090848,21090848,20619200,-0.000933,6.000000,normal,20997254
140,21090882,21090882,20574400,-0.000370,6.000000,normal,21878159
141,21090915,21090915,20596800,-0.000954,6.000000,normal,21878159
142,21090948,21090948,20652800,0.000483,6.000000,normal,21878159
